,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
44,44.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,73257.0,71410.0,1847.0,43.514292504280746,77.40989103101425,33.89559852673351,38.66269626421224,1847.0,92697.0,539.0,71410.0,0.5678557056452824,0.43214429435471763,0.43514292504280744,38.66269626421224,0.7740989103101426,0.5648570749571926,0.02521260766889171,0.04883465753605754
45,45.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,74922.0,73060.0,1862.0,44.51973407593826,78.03855825649623,33.51882418055797,39.23737916219119,1862.0,91047.0,524.0,73060.0,0.5580354729628273,0.44196452703717276,0.4451973407593826,39.23737916219119,0.7803855825649623,0.5548026592406174,0.024852513280478362,0.04817095255342267
46,46.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,76587.0,74711.0,1876.0,45.52578500612405,78.62531433361274,33.09952932748868,39.82462686567164,1876.0,89396.0,510.0,74711.0,0.5482032277633294,0.4517967722366706,0.45525785006124053,39.82462686567164,0.7862531433361274,0.5447421499387595,0.024495018736861347,0.047509908449723325
47,47.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,78252.0,76372.0,1880.0,46.537929521592616,78.79295892707461,32.25502940548199,40.62340425531915,1880.0,87735.0,506.0,76372.0,0.538250857393404,0.46174914260659605,0.4653792952159262,40.62340425531915,0.787929589270746,0.5346207047840738,0.02402494504932781,0.046628140578883405
48,48.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,79917.0,78026.0,1891.0,47.54580852736324,79.25398155909473,31.708173031731484,41.26176626123744,1891.0,86081.0,495.0,78026.0,0.5283825746427778,0.47161742535722223,0.4754580852736324,41.26176626123744,0.7925398155909472,0.5245419147263676,0.023662049376227838,0.04595215241242725
49,49.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,81582.0,79685.0,1897.0,48.55673432577526,79.50544844928751,30.948714123512254,42.00579862941487,1897.0,84422.0,489.0,79685.0,0.5184542293069379,0.48154577069306215,0.4855673432577526,42.00579862941487,0.7950544844928751,0.5144326567422475,0.023252678286877007,0.04518387957317072
50,50.0,1664.0,1652.0,12.0,99.27884615384616,0.7211538461538396,83246.0,81337.0,1909.0,49.563394614489326,80.00838222967309,30.444987615183763,42.60712414876899,1909.0,82770.0,477.0,81337.0,0.5086039653318758,0.4913960346681242,0.49563394614489326,42.60712414876899,0.8000838222967309,0.5043660538551067,0.02293203277034332,0.04458613602391629
51,51.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,84911.0,82992.0,1919.0,50.57188297878823,80.42749371332775,29.855610734539518,43.24752475247525,1919.0,81115.0,467.0,82992.0,0.4987236700642069,0.5012763299357931,0.5057188297878823,43.24752475247525,0.8042749371332775,0.4942811702121177,0.022600134258223315,0.0439648556078674
52,52.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,86576.0,84647.0,1929.0,51.58037134308713,80.8466051969824,29.266233853895265,43.8812856402281,1929.0,79460.0,457.0,84647.0,0.488843374796538,0.5111566252034621,0.5158037134308713,43.8812856402281,0.808466051969824,0.48419628656912866,0.022281001663278507,0.04336683078168207
53,53.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,88241.0,86305.0,1936.0,52.59068778297087,81.13998323554065,28.549295452569787,44.57902892561984,1936.0,77802.0,450.0,86305.0,0.47892704197774083,0.5210729580222592,0.5259068778297087,44.57902892561984,0.8113998323554066,0.4740931221702913,0.021939914552192293,0.042724574354221154
